지점,지점명,일시,기온(°C),강수량(mm)
133,대전,2026-04-03 01:00,8.5,
133,대전,2026-04-03 02:00,8.1,
133,대전,2026-04-03 03:00,7.8,
133,대전,2026-04-03 04:00,7.2,
133,대전,2026-04-03 05:00,6.5,
133,대전,2026-04-03 06:00,6.2,
133,대전,2026-04-03 07:00,6.3,
133,대전,2026-04-03 08:00,8,
133,대전,2026-04-03 09:00,10.2,
133,대전,2026-04-03 10:00,13,
133,대전,2026-04-03 11:00,17.4,
133,대전,2026-04-03 12:00,19.8,
133,대전,2026-04-03 13:00,21.2,
133,대전,2026-04-03 14:00,21.5,
133,대전,2026-04-03 15:00,22.1,
133,대전,2026-04-03 16:00,21.3,
133,대전,2026-04-03 17:00,21.1,
133,대전,2026-04-03 18:00,20,
133,대전,2026-04-03 19:00,19,
133,대전,2026-04-03 20:00,17.7,
133,대전,2026-04-03 21:00,17,
133,대전,2026-04-03 22:00,15,0
133,대전,2026-04-03 23:00,15.5,0
133,대전,2026-04-04 00:00,13.4,0
